,Amazon_Sailfin_Catfish,American_Eel,Bigmouth_Sleeper,Green_Swordtail,Mountain_Mullet,Poeciliidae,River_Goby,Sirajo_Goby,Spinycheek_Sleeper,Cichlid
2008,10,0,18,2,35,0,27,0,2,0
2009,11,8,78,6,58,0,68,1,30,0
2010,2,3,11,20,79,0,27,0,1,0
2011,1,0,10,0,82,0,8,0,0,0
2012,0,0,11,0,44,0,8,0,4,1
2013,0,1,8,0,5,1,2,0,8,0
2014,0,1,10,0,96,5,2,0,1,4
2015a,0,0,10,1,41,18,10,3,3,50
2015b,0,0,8,1,30,21,9,0,2,101
2015c,0,0,2,1,35,4,4,1,4,47
2016,0,1,15,4,12,3,1,0,1,93
